run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.02595235888404857,0.00023864029577760088,431.1072375324945,3281.844471216202,models_lstm_xes\lstm_BPIC15_3_STD_run1.pt
2,0.02595235888404857,0.00023864029577760088,431.04607205778495,5294.873673200607,models_lstm_xes\lstm_BPIC15_3_STD_run2.pt
3,0.022337566039484662,0.00020612737132007046,430.95069522393567,3872.9306089878082,models_lstm_xes\lstm_BPIC15_3_STD_run3.pt
4,0.022337566039484662,0.00020612737132007046,430.8138576550789,2292.9125707149506,models_lstm_xes\lstm_BPIC15_3_STD_run4.pt
5,0.023635183983687087,0.00021782509755147506,430.89450105251984,2439.024841785431,models_lstm_xes\lstm_BPIC15_3_STD_run5.pt
6,0.022337566039484662,0.00020612737132007046,427.37968336677744,2434.8440194129944,models_lstm_xes\lstm_BPIC15_3_STD_run6.pt
7,0.041616461210492166,0.001148056399124443,398.99755171086224,6378.04153585434,models_lstm_xes\lstm_BPIC15_3_STD_run7.pt
8,0.02595235888404857,0.00023864029577760088,430.25699266548946,3856.94286608696,models_lstm_xes\lstm_BPIC15_3_STD_run8.pt
9,0.04643618500324404,0.0014722070306011433,386.5089919275009,5886.409086704254,models_lstm_xes\lstm_BPIC15_3_STD_run9.pt
10,0.02595235888404857,0.00023864029577760088,430.5130016074538,3170.8880462646484,models_lstm_xes\lstm_BPIC15_3_STD_run10.pt
