run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.01630151278038602,0.00016884248347032087,949.4606140816462,1735.6339094638824,models_lstm_xes\lstm_BPIC15_2_STD_run1.pt
2,0.02112676056338028,0.00021778584392014518,949.911779668465,1735.1298625469208,models_lstm_xes\lstm_BPIC15_2_STD_run2.pt
3,0.01577986437141367,0.00016352345750755113,950.1855143845232,1730.2689867019653,models_lstm_xes\lstm_BPIC15_2_STD_run3.pt
4,0.01630151278038602,0.00016884248347032087,949.2118113831855,1738.0064580440521,models_lstm_xes\lstm_BPIC15_2_STD_run4.pt
5,0.01630151278038602,0.00016884248347032087,949.5050908966923,1735.5031027793884,models_lstm_xes\lstm_BPIC15_2_STD_run5.pt
6,0.02112676056338028,0.00021778584392014518,949.1592309969874,1731.0683915615082,models_lstm_xes\lstm_BPIC15_2_STD_run6.pt
7,0.0,0.0,949.6010749680767,1735.1482212543488,models_lstm_xes\lstm_BPIC15_2_STD_run7.pt
8,0.016562336984872195,0.0001714999493602512,949.3591152594305,1735.3972997665405,models_lstm_xes\lstm_BPIC15_2_STD_run8.pt
9,0.01630151278038602,0.00016884248347032087,950.1637432684605,1733.0982503890991,models_lstm_xes\lstm_BPIC15_2_STD_run9.pt
10,0.0,0.0,949.7493607557556,1560.2680435180664,models_lstm_xes\lstm_BPIC15_2_STD_run10.pt
