run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.425614489003881,0.19903206291591047,442.6736810272513,26.14337944984436,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run1.pt
2,0.425614489003881,0.19903206291591047,438.97459784951945,26.278156757354736,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run2.pt
3,0.425614489003881,0.19903206291591047,442.18259673967447,25.9281964302063,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run3.pt
4,0.425614489003881,0.19903206291591047,440.0257168063283,26.05702543258667,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run4.pt
5,0.425614489003881,0.19903206291591047,442.05502062970317,26.680143117904663,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run5.pt
6,0.425614489003881,0.19903206291591047,440.0528205215612,26.151641130447388,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run6.pt
7,0.425614489003881,0.19903206291591047,400.18950824075085,29.27066445350647,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run7.pt
8,0.425614489003881,0.19903206291591047,442.6719832550266,26.502699851989746,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run8.pt
9,0.425614489003881,0.19903206291591047,441.97182410565927,26.49294924736023,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run9.pt
10,0.425614489003881,0.19903206291591047,437.1264434484188,25.74271845817566,models_lstm_xes\lstm_BPI_Challenge_2013C_STD_run10.pt
