run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.018423267558215654,0.00014827861325625858,953.806940462745,1807.7980234622955,models_lstm_xes\lstm_BPIC15_5_STD_run1.pt
2,0.015711212943046855,0.00012678843387605826,953.5737582768049,3895.1534826755524,models_lstm_xes\lstm_BPIC15_5_STD_run2.pt
3,0.018423267558215654,0.00014827861325625858,953.7715844914211,3047.9884119033813,models_lstm_xes\lstm_BPIC15_5_STD_run3.pt
4,0.018423267558215654,0.00014827861325625858,954.1979981827672,4267.911534070969,models_lstm_xes\lstm_BPIC15_5_STD_run4.pt
5,0.02141587954736744,0.0001718594744852471,951.2716752593118,3058.4681282043457,models_lstm_xes\lstm_BPIC15_5_STD_run5.pt
6,0.02141587954736744,0.0001718594744852471,951.5574450116651,3431.534956932068,models_lstm_xes\lstm_BPIC15_5_STD_run6.pt
7,0.016272327691012813,0.00013124408835895108,952.1898548611468,3895.3185431957245,models_lstm_xes\lstm_BPIC15_5_STD_run7.pt
8,0.02141587954736744,0.0001718594744852471,953.2594951353587,2710.821798801422,models_lstm_xes\lstm_BPIC15_5_STD_run8.pt
9,0.018423267558215654,0.00014827861325625858,954.264684122532,4741.904007911682,models_lstm_xes\lstm_BPIC15_5_STD_run9.pt
10,0.02141587954736744,0.0001718594744852471,953.6826262506328,2855.216103553772,models_lstm_xes\lstm_BPIC15_5_STD_run10.pt
