run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.016001855287569575,0.00010714169255924237,1880.6133566797046,1474.7156608104706,models_lstm_xes\lstm_BPIC15_2_GEN_run1.pt
2,0.017045454545454544,0.00011401208528103979,1880.9057619585774,1478.2934837341309,models_lstm_xes\lstm_BPIC15_2_GEN_run2.pt
3,0.018436920222634507,0.0001231507062576824,1880.9878273214547,1477.3432984352112,models_lstm_xes\lstm_BPIC15_2_GEN_run3.pt
4,0.01020408163265306,6.871435442864014e-05,1880.5066728601585,1462.314528465271,models_lstm_xes\lstm_BPIC15_2_GEN_run4.pt
5,0.018436920222634507,0.0001231507062576824,1881.2297022852185,1463.2268705368042,models_lstm_xes\lstm_BPIC15_2_GEN_run5.pt
6,0.01020408163265306,6.871435442864014e-05,1880.886520498177,1479.0906810760498,models_lstm_xes\lstm_BPIC15_2_GEN_run6.pt
7,0.017161410018552876,0.00011477459200734557,1881.8776635213267,1480.4563813209534,models_lstm_xes\lstm_BPIC15_2_GEN_run7.pt
8,0.01982838589981447,0.00013226438955343364,1881.021061416984,1483.7731766700745,models_lstm_xes\lstm_BPIC15_2_GEN_run8.pt
9,0.018320964749536178,0.00012239010840045425,1880.3538797260812,1476.56880569458,models_lstm_xes\lstm_BPIC15_2_GEN_run9.pt
10,0.017161410018552876,0.00011477459200734557,1880.9044252575152,1475.9844057559967,models_lstm_xes\lstm_BPIC15_2_GEN_run10.pt
