run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.025084238113066266,0.0002913144805036697,1366.18876522193,3612.62361741066,models_lstm_xes\lstm_BPIC15_4_STD_run1.pt
2,0.026082615749407213,0.00030261435637256605,1368.3429868712715,3336.9368436336517,models_lstm_xes\lstm_BPIC15_4_STD_run2.pt
3,0.026082615749407213,0.00030261435637256605,1373.2996366915343,2134.3324825763702,models_lstm_xes\lstm_BPIC15_4_STD_run3.pt
4,0.025957818544864595,0.00030120307458830753,1386.5939685067046,2037.3676953315735,models_lstm_xes\lstm_BPIC15_4_STD_run4.pt
5,0.025957818544864595,0.00030120307458830753,1374.830090530462,3246.8605473041534,models_lstm_xes\lstm_BPIC15_4_STD_run5.pt
6,0.025084238113066266,0.0002913144805036697,1364.9093561787395,2061.2498347759247,models_lstm_xes\lstm_BPIC15_4_STD_run6.pt
7,0.026082615749407213,0.00030261435637256605,1363.9558004669032,1756.0672607421875,models_lstm_xes\lstm_BPIC15_4_STD_run7.pt
8,0.026082615749407213,0.00030261435637256605,1383.794729839729,2132.373875617981,models_lstm_xes\lstm_BPIC15_4_STD_run8.pt
9,0.026082615749407213,0.00030261435637256605,1366.7435784636448,1947.2250859737396,models_lstm_xes\lstm_BPIC15_4_STD_run9.pt
10,0.026082615749407213,0.00030261435637256605,1389.564478266114,2129.9293928146362,models_lstm_xes\lstm_BPIC15_4_STD_run10.pt
