run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.010670194003527337,7.182002021644537e-05,1088.6530248141664,1551.3551247119904,models_lstm_xes\lstm_BPIC15_5_GEN_run1.pt
2,0.01781305114638448,0.0001190564598738473,1088.497908119684,1516.3914527893066,models_lstm_xes\lstm_BPIC15_5_GEN_run2.pt
3,0.02204585537918871,0.00014676219124170204,1088.1250182460517,1515.4839134216309,models_lstm_xes\lstm_BPIC15_5_GEN_run3.pt
4,0.014638447971781305,9.81445941839277e-05,1087.8850800153523,1519.999895811081,models_lstm_xes\lstm_BPIC15_5_GEN_run4.pt
5,0.021516754850088183,0.0001432893599428722,1088.2773901777164,1510.2433652877808,models_lstm_xes\lstm_BPIC15_5_GEN_run5.pt
6,0.013315696649029983,8.939264505732674e-05,1088.3443876829178,1509.6678569316864,models_lstm_xes\lstm_BPIC15_5_GEN_run6.pt
7,0.01781305114638448,0.0001190564598738473,1087.9229615335194,1479.889033317566,models_lstm_xes\lstm_BPIC15_5_GEN_run7.pt
8,0.007936507936507936,5.3564732979806093e-05,1088.179550843777,1434.3681900501251,models_lstm_xes\lstm_BPIC15_5_GEN_run8.pt
9,0.016137566137566138,0.00010803592460155112,1088.2455236365217,1434.0555799007416,models_lstm_xes\lstm_BPIC15_5_GEN_run9.pt
10,0.010670194003527337,7.182002021644537e-05,1088.2168932718866,1424.1196866035461,models_lstm_xes\lstm_BPIC15_5_GEN_run10.pt
