run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.02453077258838935,0.0001549736048515011,605.0353993114112,1823.3458557128906,models_lstm_xes\lstm_BPIC15_3_GEN_run1.pt
2,0.02453077258838935,0.0001549736048515011,604.9672116300908,3109.954516887665,models_lstm_xes\lstm_BPIC15_3_GEN_run2.pt
3,0.04068092536010476,0.0005053360365330914,585.0467860911698,2542.2318556308746,models_lstm_xes\lstm_BPIC15_3_GEN_run3.pt
4,0.024094281972937583,0.00015228094510189166,605.1605756393402,1241.50381398201,models_lstm_xes\lstm_BPIC15_3_GEN_run4.pt
5,0.020427760803142733,0.0001295716576949368,604.7976199590158,2050.7223072052,models_lstm_xes\lstm_BPIC15_3_GEN_run5.pt
6,0.023134002618943692,0.00014634900648353711,605.2789356071085,996.0807704925537,models_lstm_xes\lstm_BPIC15_3_GEN_run6.pt
7,0.023134002618943692,0.00014634900648353711,605.1417287623474,2062.663570165634,models_lstm_xes\lstm_BPIC15_3_GEN_run7.pt
8,0.023134002618943692,0.00014634900648353711,604.8469237319742,1418.3899223804474,models_lstm_xes\lstm_BPIC15_3_GEN_run8.pt
9,0.025141859450021824,0.0003232711698314176,598.5952769136775,2724.8756375312805,models_lstm_xes\lstm_BPIC15_3_GEN_run9.pt
10,0.03360977738978612,0.0008936928230188614,599.920190821072,2432.9619431495667,models_lstm_xes\lstm_BPIC15_3_GEN_run10.pt
