run,test_activity_accuracy,test_activity_f1,test_mae,training_time_sec,model_path
1,0.022610595303113053,0.0001643915250212637,1365.3128504463086,1064.7728338241577,models_lstm_xes\lstm_BPIC15_4_GEN_run1.pt
2,0.021190606226105954,0.0001542816538834243,1364.79631567247,1293.5575065612793,models_lstm_xes\lstm_BPIC15_4_GEN_run2.pt
3,0.017476788640087382,0.00012770704005012502,1365.0187495291611,1334.1840121746063,models_lstm_xes\lstm_BPIC15_4_GEN_run3.pt
4,0.017476788640087382,0.00012770704005012502,1365.7036706654724,1327.0108616352081,models_lstm_xes\lstm_BPIC15_4_GEN_run4.pt
5,0.021190606226105954,0.0001542816538834243,1365.9043893536038,962.2487275600433,models_lstm_xes\lstm_BPIC15_4_GEN_run5.pt
6,0.023156744948115784,0.00016827246487014644,1366.0483393195761,1416.0861463546753,models_lstm_xes\lstm_BPIC15_4_GEN_run6.pt
7,0.022610595303113053,0.0001643915250212637,1364.932251332415,1276.9120638370514,models_lstm_xes\lstm_BPIC15_4_GEN_run7.pt
8,0.022610595303113053,0.0001643915250212637,1365.3499028462736,1601.3614456653595,models_lstm_xes\lstm_BPIC15_4_GEN_run8.pt
9,0.02042599672310213,0.00014882622270292298,1365.0577031459093,3099.0127787590027,models_lstm_xes\lstm_BPIC15_4_GEN_run9.pt
10,0.023156744948115784,0.00016827246487014644,1365.1733434263656,4191.795206785202,models_lstm_xes\lstm_BPIC15_4_GEN_run10.pt
